graph_name,graph_family,directed,source,mode,threads,alpha,beta,runtime_seconds,cpu_time_seconds,total_visited,total_levels,total_edge_examinations,switch_to_bottom_up_level,switch_back_to_top_down_level,top_down_levels,bottom_up_levels,frontier_at_switch,visited_fraction_at_switch,speedup,efficiency
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,24.0,0.044701677,0.095219000,540486,15,15508276,4,8,11,4,32337,0.063215,2.4619,1.2309
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,48.0,0.084902126,0.092637000,540486,15,15356630,4,9,10,5,32337,0.063215,1.1194,1.1194
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,32.0,0.084832213,0.182829000,540486,15,15356630,4,9,10,5,32337,0.063215,1.9935,0.9968
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,16.0,64.0,0.075640488,0.082532000,540486,15,15356630,4,9,10,5,32337,0.063215,1.4253,1.4253
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,48.0,0.046489850,0.101071000,540486,15,15356630,4,9,10,5,32337,0.063215,3.3711,1.6855
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,8.0,0.093334905,0.101838000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2081,1.2081
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,8.0,64.0,0.051427891,0.108262000,540486,15,15356630,4,9,10,5,32337,0.063215,2.5515,1.2758
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,16.0,0.085739781,0.093556000,540486,15,15508276,4,8,11,4,32337,0.063215,1.4201,1.4201
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,8.0,0.055809239,0.120956000,540486,15,15508276,4,8,11,4,32337,0.063215,2.6097,1.3048
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,24.0,0.090070631,0.098278000,540486,15,15508276,4,8,11,4,32337,0.063215,1.2881,1.2881
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,16.0,0.043471270,0.091937000,540486,15,15508276,4,8,11,4,32337,0.063215,2.5248,1.2624
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,32.0,0.078428996,0.085575000,540486,15,15356630,4,9,10,5,32337,0.063215,1.2521,1.2521
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,24.0,0.040673720,0.086410000,540486,15,15508276,4,8,11,4,32337,0.063215,2.5835,1.2917
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,48.0,0.081013191,0.088394000,540486,15,15356630,4,9,10,5,32337,0.063215,1.5204,1.5204
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,32.0,0.042752759,0.090538000,540486,15,15356630,4,9,10,5,32337,0.063215,2.1988,1.0994
coPapersDBLP,reference_graphs,0,0,hybrid_omp,1,20.0,64.0,0.094224826,0.102809000,540486,15,15356630,4,9,10,5,32337,0.063215,1.4083,1.4083
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,48.0,0.043155650,0.093359000,540486,15,15356630,4,9,10,5,32337,0.063215,2.4220,1.2110
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,8.0,0.029057393,0.060329000,540486,15,7895252,5,8,12,3,176764,0.390262,4.1548,2.0774
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,10.0,64.0,0.056731969,0.118987000,540486,15,15356630,4,9,10,5,32337,0.063215,1.8170,0.9085
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,16.0,0.043052963,0.091403000,540486,15,7895252,5,8,12,3,176764,0.390262,3.6789,1.8395
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,12.0,8.0,0.054066188,0.115201000,540486,15,15508276,4,8,11,4,32337,0.063215,2.3925,1.1962
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,24.0,0.033901103,0.070644000,540486,15,7895252,5,8,12,3,176764,0.390262,3.7114,1.8557
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,12.0,16.0,0.060907662,0.132323000,540486,15,15508276,4,8,11,4,32337,0.063215,2.1956,1.0978
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,32.0,0.031748748,0.066301000,540486,15,7743606,5,9,11,4,176764,0.390262,3.9449,1.9725
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,12.0,24.0,0.042765795,0.090749000,540486,15,15508276,4,8,11,4,32337,0.063215,2.9210,1.4605
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,48.0,0.027095166,0.054673000,540486,15,7743606,5,9,11,4,176764,0.390262,4.3703,2.1852
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,12.0,32.0,0.049886257,0.106548000,540486,15,15356630,4,9,10,5,32337,0.063215,2.4901,1.2451
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,4.0,64.0,0.031416918,0.067145000,540486,15,7743606,5,9,11,4,176764,0.390262,3.3427,1.6713
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,12.0,48.0,0.055921060,0.119284000,540486,15,15356630,4,9,10,5,32337,0.063215,2.6244,1.3122
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,8.0,0.030174329,0.064341000,540486,15,7895252,5,8,12,3,176764,0.390262,4.4251,2.2126
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,12.0,64.0,0.044338002,0.094116000,540486,15,15356630,4,9,10,5,32337,0.063215,3.0509,1.5255
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,6.0,16.0,0.026166944,0.056050000,540486,15,7895252,5,8,12,3,176764,0.390262,5.2926,2.6463
coPapersDBLP,reference_graphs,0,0,hybrid_omp,2,14.0,8.0,0.044718574,0.095547000,540486,15,15508276,4,8,11,4,32337,0.063215,2.4842,1.2421
