impl,graph_name,variant_or_mode,threads,runtime_seconds,total_levels,delta_unreached,source,directed,alpha,beta
ours,coPapersDBLP,hybrid_omp,4,0.030917142,15,,0,0,14.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.018884310,15,,0,0,6.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.024652151,15,,0,0,14.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.017425928,15,,0,0,6.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.021680033,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.048350104,15,,0,0,6.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.024681913,15,,0,0,14.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.015686905,15,,0,0,6.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.021707864,15,,0,0,14.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.027761631,15,,0,0,8.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.033621441,15,,0,0,14.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.026396269,15,,0,0,8.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.024390299,15,,0,0,16.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.024777065,15,,0,0,8.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.033140639,15,,0,0,16.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.025464896,15,,0,0,8.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.035988149,15,,0,0,16.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.027875768,15,,0,0,8.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.026519192,15,,0,0,16.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.023700596,15,,0,0,8.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.025674448,15,,0,0,16.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.023948151,15,,0,0,10.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.026661845,15,,0,0,16.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.026984009,15,,0,0,10.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.022676094,15,,0,0,20.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.027796231,15,,0,0,10.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.023032158,15,,0,0,20.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.027956174,15,,0,0,10.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.025357318,15,,0,0,20.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.025794680,15,,0,0,10.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.022442163,15,,0,0,20.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.029517915,15,,0,0,10.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.028872460,15,,0,0,20.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.032115807,15,,0,0,12.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.024812434,15,,0,0,20.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.023319751,15,,0,0,12.0,16.0
ours,coPapersDBLP,hybrid_omp,8,0.017847652,15,,0,0,4.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.025665588,15,,0,0,12.0,24.0
ours,coPapersDBLP,hybrid_omp,8,0.020160201,15,,0,0,4.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.031003752,15,,0,0,12.0,32.0
ours,coPapersDBLP,hybrid_omp,8,0.015819778,15,,0,0,4.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.024750671,15,,0,0,12.0,48.0
ours,coPapersDBLP,hybrid_omp,8,0.016920546,15,,0,0,4.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.024090373,15,,0,0,12.0,64.0
ours,coPapersDBLP,hybrid_omp,8,0.012972185,15,,0,0,4.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.023288897,15,,0,0,14.0,8.0
ours,coPapersDBLP,hybrid_omp,8,0.016709795,15,,0,0,4.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.021517027,15,,0,0,14.0,16.0
ours,coPapersDBLP,hybrid_omp,8,0.017781080,15,,0,0,6.0,8.0
ours,coPapersDBLP,hybrid_omp,4,0.024742447,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,8,0.024329556,15,,0,0,6.0,16.0
ours,coPapersDBLP,hybrid_omp,4,0.023807222,15,,0,0,14.0,32.0
ours,coPapersDBLP,hybrid_omp,8,0.014152613,15,,0,0,6.0,24.0
ours,coPapersDBLP,hybrid_omp,4,0.026823476,15,,0,0,14.0,48.0
ours,coPapersDBLP,hybrid_omp,8,0.018184980,15,,0,0,6.0,32.0
ours,coPapersDBLP,hybrid_omp,4,0.028382673,15,,0,0,14.0,64.0
ours,coPapersDBLP,hybrid_omp,8,0.016875441,15,,0,0,6.0,48.0
ours,coPapersDBLP,hybrid_omp,4,0.025436467,15,,0,0,16.0,8.0
ours,coPapersDBLP,hybrid_omp,8,0.011683251,15,,0,0,6.0,64.0
ours,coPapersDBLP,hybrid_omp,4,0.029034345,15,,0,0,16.0,16.0
ours,coPapersDBLP,hybrid_omp,8,0.036328372,15,,0,0,8.0,8.0
